time,sensor,PM2.5,PM10
2020-06-07 00:00:06,sds011_38CF,53.8,60.7
2020-06-07 00:01:17,sds011_38CF,51.3,62.9
2020-06-07 00:02:28,sds011_38CF,52.0,60.7
2020-06-07 00:03:39,sds011_38CF,52.2,58.6
2020-06-07 00:04:51,sds011_38CF,50.5,57.1
2020-06-07 00:06:02,sds011_38CF,51.9,58.2
2020-06-07 00:07:13,sds011_38CF,50.6,58.9
2020-06-07 00:08:25,sds011_38CF,49.2,55.0
2020-06-07 00:09:36,sds011_38CF,51.1,58.7
2020-06-07 00:10:47,sds011_38CF,49.0,56.5
2020-06-07 00:11:59,sds011_38CF,49.8,58.2
2020-06-07 00:13:10,sds011_38CF,47.9,55.2
2020-06-07 00:14:21,sds011_38CF,48.6,58.2
2020-06-07 00:15:33,sds011_38CF,48.8,58.6
2020-06-07 00:16:44,sds011_38CF,48.0,57.6
2020-06-07 00:17:56,sds011_38CF,47.5,53.8
2020-06-07 00:19:07,sds011_38CF,49.4,55.8
2020-06-07 00:20:19,sds011_38CF,46.3,51.9
2020-06-07 00:21:22,sds011_38CF,47.4,56.4
2020-06-07 00:22:25,sds011_38CF,46.6,57.9
2020-06-07 00:23:37,sds011_38CF,45.3,53.9
2020-06-07 00:24:48,sds011_38CF,46.1,51.7
2020-06-07 00:25:59,sds011_38CF,45.5,52.0
2020-06-07 00:27:05,sds011_38CF,46.8,53.9
2020-06-07 00:28:16,sds011_38CF,44.9,52.7
2020-06-07 00:29:28,sds011_38CF,45.5,53.7
2020-06-07 00:30:39,sds011_38CF,45.8,52.1
2020-06-07 00:31:51,sds011_38CF,45.3,53.4
2020-06-07 00:33:03,sds011_38CF,44.1,52.3
2020-06-07 00:34:14,sds011_38CF,45.7,52.9
2020-06-07 00:35:25,sds011_38CF,44.2,52.8
2020-06-07 00:36:37,sds011_38CF,44.2,50.1
2020-06-07 00:37:48,sds011_38CF,44.3,49.8
2020-06-07 00:38:59,sds011_38CF,45.2,51.1
2020-06-07 00:40:11,sds011_38CF,42.4,48.8
2020-06-07 00:41:22,sds011_38CF,43.1,49.5
2020-06-07 00:42:33,sds011_38CF,43.3,51.5
2020-06-07 00:43:44,sds011_38CF,42.4,48.5
2020-06-07 00:44:56,sds011_38CF,42.1,50.5
2020-06-07 00:46:07,sds011_38CF,41.6,49.5
2020-06-07 00:47:18,sds011_38CF,40.5,50.7
2020-06-07 00:48:30,sds011_38CF,41.3,47.7
2020-06-07 00:49:43,sds011_38CF,41.2,50.4
2020-06-07 00:50:54,sds011_38CF,39.3,45.7
2020-06-07 00:52:06,sds011_38CF,39.7,48.4
2020-06-07 00:53:17,sds011_38CF,40.1,49.2
2020-06-07 00:54:28,sds011_38CF,40.4,45.4
2020-06-07 00:55:40,sds011_38CF,39.9,49.1
2020-06-07 00:56:51,sds011_38CF,38.9,46.4
2020-06-07 00:58:02,sds011_38CF,39.3,46.4
2020-06-07 00:59:14,sds011_38CF,38.8,49.6
