time,sensor,PM2.5,PM10
2020-06-07 00:00:59,sds011_4600,39.4,55.4
2020-06-07 00:02:11,sds011_4600,38.0,55.2
2020-06-07 00:03:22,sds011_4600,39.0,56.9
2020-06-07 00:04:33,sds011_4600,37.9,55.8
2020-06-07 00:05:45,sds011_4600,38.4,55.7
2020-06-07 00:06:56,sds011_4600,36.9,53.6
2020-06-07 00:08:07,sds011_4600,37.1,53.1
2020-06-07 00:09:18,sds011_4600,37.0,55.6
2020-06-07 00:10:30,sds011_4600,37.1,53.0
2020-06-07 00:11:41,sds011_4600,36.5,52.7
2020-06-07 00:12:45,sds011_4600,37.5,57.9
2020-06-07 00:13:56,sds011_4600,35.7,56.4
2020-06-07 00:15:08,sds011_4600,36.5,58.4
2020-06-07 00:16:19,sds011_4600,36.1,53.0
2020-06-07 00:17:30,sds011_4600,35.1,55.7
2020-06-07 00:18:42,sds011_4600,34.6,51.2
2020-06-07 00:19:53,sds011_4600,35.4,57.0
2020-06-07 00:20:57,sds011_4600,34.9,49.7
2020-06-07 00:22:10,sds011_4600,35.5,53.6
2020-06-07 00:23:21,sds011_4600,34.9,51.1
2020-06-07 00:24:33,sds011_4600,35.2,53.6
2020-06-07 00:25:44,sds011_4600,33.8,50.9
2020-06-07 00:26:50,sds011_4600,33.7,51.2
2020-06-07 00:28:01,sds011_4600,33.5,50.5
2020-06-07 00:29:12,sds011_4600,34.6,54.5
2020-06-07 00:30:24,sds011_4600,34.4,46.1
2020-06-07 00:31:36,sds011_4600,33.1,50.5
2020-06-07 00:32:47,sds011_4600,34.8,53.0
2020-06-07 00:33:59,sds011_4600,33.7,48.5
2020-06-07 00:35:10,sds011_4600,31.9,47.0
2020-06-07 00:36:21,sds011_4600,33.1,54.5
2020-06-07 00:37:33,sds011_4600,30.9,43.1
2020-06-07 00:38:44,sds011_4600,33.0,47.2
2020-06-07 00:39:55,sds011_4600,31.5,50.8
2020-06-07 00:41:07,sds011_4600,32.1,49.0
2020-06-07 00:42:18,sds011_4600,30.9,47.8
2020-06-07 00:43:29,sds011_4600,31.7,44.4
2020-06-07 00:44:40,sds011_4600,31.5,50.0
2020-06-07 00:45:52,sds011_4600,31.8,47.9
2020-06-07 00:47:03,sds011_4600,30.2,47.2
2020-06-07 00:48:14,sds011_4600,30.0,46.0
2020-06-07 00:49:26,sds011_4600,30.6,45.5
2020-06-07 00:50:37,sds011_4600,30.5,46.9
2020-06-07 00:51:48,sds011_4600,29.7,45.3
2020-06-07 00:53:00,sds011_4600,29.9,48.9
2020-06-07 00:54:11,sds011_4600,29.9,44.3
2020-06-07 00:55:22,sds011_4600,30.2,46.5
2020-06-07 00:56:34,sds011_4600,30.0,42.7
2020-06-07 00:57:45,sds011_4600,29.8,45.8
2020-06-07 00:58:56,sds011_4600,29.7,47.1
