time,sensor,PM2.5,PM10
2020-06-07 00:00:29,sds011_5FAE,56.5,64.9
2020-06-07 00:01:40,sds011_5FAE,58.0,67.5
2020-06-07 00:02:52,sds011_5FAE,54.6,63.8
2020-06-07 00:04:03,sds011_5FAE,54.4,65.9
2020-06-07 00:05:14,sds011_5FAE,54.2,65.6
2020-06-07 00:06:26,sds011_5FAE,53.9,63.9
2020-06-07 00:07:37,sds011_5FAE,54.3,60.9
2020-06-07 00:08:48,sds011_5FAE,53.8,61.9
2020-06-07 00:09:59,sds011_5FAE,54.0,66.8
2020-06-07 00:11:11,sds011_5FAE,55.4,71.4
2020-06-07 00:12:24,sds011_5FAE,52.2,66.0
2020-06-07 00:13:36,sds011_5FAE,52.7,62.9
2020-06-07 00:14:47,sds011_5FAE,51.0,62.0
2020-06-07 00:15:59,sds011_5FAE,51.6,61.6
2020-06-07 00:17:10,sds011_5FAE,51.9,61.0
2020-06-07 00:18:21,sds011_5FAE,52.0,63.9
2020-06-07 00:19:33,sds011_5FAE,51.8,60.7
2020-06-07 00:20:44,sds011_5FAE,50.7,61.2
2020-06-07 00:21:58,sds011_5FAE,49.9,59.7
2020-06-07 00:23:09,sds011_5FAE,51.3,62.3
2020-06-07 00:24:20,sds011_5FAE,52.2,58.6
2020-06-07 00:25:32,sds011_5FAE,50.9,61.1
2020-06-07 00:26:37,sds011_5FAE,50.2,62.6
2020-06-07 00:27:48,sds011_5FAE,49.7,62.3
2020-06-07 00:29:00,sds011_5FAE,52.0,58.4
2020-06-07 00:30:11,sds011_5FAE,49.9,61.4
2020-06-07 00:31:23,sds011_5FAE,49.2,59.5
2020-06-07 00:32:35,sds011_5FAE,48.5,55.8
2020-06-07 00:33:46,sds011_5FAE,48.4,57.8
2020-06-07 00:34:57,sds011_5FAE,51.1,58.3
2020-06-07 00:36:09,sds011_5FAE,46.4,53.5
2020-06-07 00:37:20,sds011_5FAE,46.2,54.3
2020-06-07 00:38:31,sds011_5FAE,45.4,55.7
2020-06-07 00:39:43,sds011_5FAE,47.9,56.6
2020-06-07 00:40:54,sds011_5FAE,45.6,57.9
2020-06-07 00:42:05,sds011_5FAE,44.6,54.2
2020-06-07 00:43:17,sds011_5FAE,44.5,52.0
2020-06-07 00:44:28,sds011_5FAE,45.8,52.3
2020-06-07 00:45:39,sds011_5FAE,45.6,60.4
2020-06-07 00:46:51,sds011_5FAE,45.9,54.1
2020-06-07 00:48:02,sds011_5FAE,43.9,55.9
2020-06-07 00:49:13,sds011_5FAE,43.4,56.2
2020-06-07 00:50:24,sds011_5FAE,44.5,52.7
2020-06-07 00:51:36,sds011_5FAE,44.3,54.3
2020-06-07 00:52:47,sds011_5FAE,44.1,50.7
2020-06-07 00:53:58,sds011_5FAE,43.5,53.5
2020-06-07 00:55:10,sds011_5FAE,43.3,53.9
2020-06-07 00:56:21,sds011_5FAE,42.8,52.0
2020-06-07 00:57:33,sds011_5FAE,43.2,50.3
2020-06-07 00:58:44,sds011_5FAE,39.7,47.0
2020-06-07 00:59:55,sds011_5FAE,41.4,49.8
2020-06-07 01:01:06,sds011_5FAE,42.2,54.6
2020-06-07 01:02:18,sds011_5FAE,42.4,55.3
2020-06-07 01:03:29,sds011_5FAE,38.9,51.7
2020-06-07 01:04:40,sds011_5FAE,41.2,51.6
2020-06-07 01:05:52,sds011_5FAE,40.7,52.3
2020-06-07 01:07:03,sds011_5FAE,41.5,55.0
2020-06-07 01:08:14,sds011_5FAE,40.5,52.0
2020-06-07 01:09:26,sds011_5FAE,39.9,51.2
2020-06-07 01:10:39,sds011_5FAE,40.4,56.1
2020-06-07 01:11:50,sds011_5FAE,38.3,45.9
2020-06-07 01:13:01,sds011_5FAE,39.9,50.6
2020-06-07 01:14:13,sds011_5FAE,37.4,48.2
2020-06-07 01:15:24,sds011_5FAE,39.8,47.9
2020-06-07 01:16:36,sds011_5FAE,39.4,47.2
2020-06-07 01:17:47,sds011_5FAE,37.5,46.5
2020-06-07 01:18:58,sds011_5FAE,36.8,45.4
2020-06-07 01:20:09,sds011_5FAE,37.5,47.2
2020-06-07 01:21:21,sds011_5FAE,37.4,46.5
2020-06-07 01:22:32,sds011_5FAE,36.4,49.7
2020-06-07 01:23:43,sds011_5FAE,35.5,46.5
2020-06-07 01:24:55,sds011_5FAE,35.9,45.0
2020-06-07 01:26:06,sds011_5FAE,34.4,42.9
2020-06-07 01:27:17,sds011_5FAE,35.0,44.7
2020-06-07 01:28:28,sds011_5FAE,35.2,46.6
2020-06-07 01:29:40,sds011_5FAE,34.7,43.1
2020-06-07 01:30:51,sds011_5FAE,34.5,46.1
2020-06-07 01:32:02,sds011_5FAE,33.7,42.5
2020-06-07 01:33:14,sds011_5FAE,33.5,41.9
2020-06-07 01:34:25,sds011_5FAE,32.3,45.2
2020-06-07 01:35:36,sds011_5FAE,30.9,39.7
2020-06-07 01:36:48,sds011_5FAE,32.6,41.9
2020-06-07 01:37:59,sds011_5FAE,32.0,42.1
2020-06-07 01:39:10,sds011_5FAE,31.7,39.4
2020-06-07 01:40:22,sds011_5FAE,31.3,40.9
2020-06-07 01:41:27,sds011_5FAE,31.8,40.9
