time,sensor,PM2.5,PM10
2020-06-07 00:00:26,sds011_90D9,51.9,79.9
2020-06-07 00:01:37,sds011_90D9,49.8,79.7
2020-06-07 00:02:48,sds011_90D9,52.2,80.9
2020-06-07 00:04:00,sds011_90D9,50.5,82.1
2020-06-07 00:05:11,sds011_90D9,50.9,84.6
2020-06-07 00:06:22,sds011_90D9,50.8,75.5
2020-06-07 00:07:34,sds011_90D9,49.2,78.4
2020-06-07 00:08:45,sds011_90D9,49.9,85.8
2020-06-07 00:09:56,sds011_90D9,48.4,75.3
2020-06-07 00:11:08,sds011_90D9,47.1,74.4
2020-06-07 00:12:21,sds011_90D9,47.7,78.2
2020-06-07 00:13:33,sds011_90D9,47.6,78.4
2020-06-07 00:14:44,sds011_90D9,48.1,77.7
2020-06-07 00:15:55,sds011_90D9,47.8,79.4
2020-06-07 00:17:07,sds011_90D9,48.4,72.8
2020-06-07 00:18:18,sds011_90D9,47.4,79.3
2020-06-07 00:19:30,sds011_90D9,48.4,82.4
2020-06-07 00:20:41,sds011_90D9,47.5,77.0
2020-06-07 00:21:52,sds011_90D9,46.4,71.0
2020-06-07 00:23:06,sds011_90D9,46.8,72.0
2020-06-07 00:24:17,sds011_90D9,46.6,75.1
2020-06-07 00:25:28,sds011_90D9,45.4,77.0
2020-06-07 00:26:34,sds011_90D9,45.2,71.9
2020-06-07 00:27:45,sds011_90D9,45.1,72.2
2020-06-07 00:28:57,sds011_90D9,44.3,72.9
2020-06-07 00:30:08,sds011_90D9,44.6,71.1
2020-06-07 00:31:20,sds011_90D9,44.2,76.8
2020-06-07 00:32:32,sds011_90D9,44.9,67.2
2020-06-07 00:33:43,sds011_90D9,44.2,68.8
2020-06-07 00:34:54,sds011_90D9,43.2,69.0
2020-06-07 00:36:06,sds011_90D9,44.5,73.4
2020-06-07 00:37:17,sds011_90D9,43.5,71.6
2020-06-07 00:38:28,sds011_90D9,42.9,71.2
2020-06-07 00:39:40,sds011_90D9,41.6,65.2
2020-06-07 00:40:51,sds011_90D9,42.9,69.6
2020-06-07 00:42:02,sds011_90D9,42.1,70.8
2020-06-07 00:43:14,sds011_90D9,42.3,74.2
2020-06-07 00:44:25,sds011_90D9,41.7,69.6
2020-06-07 00:45:36,sds011_90D9,41.1,67.3
2020-06-07 00:46:47,sds011_90D9,40.1,67.9
2020-06-07 00:47:59,sds011_90D9,40.8,74.0
2020-06-07 00:49:10,sds011_90D9,40.0,67.9
2020-06-07 00:50:21,sds011_90D9,39.4,67.5
2020-06-07 00:51:33,sds011_90D9,40.1,64.8
2020-06-07 00:52:44,sds011_90D9,39.4,65.7
2020-06-07 00:53:55,sds011_90D9,40.5,69.6
2020-06-07 00:55:07,sds011_90D9,39.2,76.7
2020-06-07 00:56:18,sds011_90D9,40.6,66.5
2020-06-07 00:57:29,sds011_90D9,39.5,66.0
2020-06-07 00:58:41,sds011_90D9,37.6,65.0
2020-06-07 00:59:52,sds011_90D9,38.4,60.5
2020-06-07 01:01:03,sds011_90D9,38.0,63.9
2020-06-07 01:02:15,sds011_90D9,37.3,64.1
2020-06-07 01:03:26,sds011_90D9,37.4,64.6
2020-06-07 01:04:37,sds011_90D9,37.4,61.3
2020-06-07 01:05:49,sds011_90D9,37.5,59.2
2020-06-07 01:07:00,sds011_90D9,37.4,63.0
2020-06-07 01:08:11,sds011_90D9,36.3,59.7
2020-06-07 01:09:22,sds011_90D9,37.1,64.9
2020-06-07 01:10:26,sds011_90D9,36.1,62.3
2020-06-07 01:11:37,sds011_90D9,36.4,59.6
2020-06-07 01:12:48,sds011_90D9,35.5,63.2
2020-06-07 01:14:00,sds011_90D9,35.2,58.5
2020-06-07 01:15:11,sds011_90D9,35.7,58.2
2020-06-07 01:16:22,sds011_90D9,34.9,63.2
2020-06-07 01:17:34,sds011_90D9,34.1,59.3
2020-06-07 01:18:45,sds011_90D9,34.8,64.7
2020-06-07 01:19:56,sds011_90D9,34.4,59.4
2020-06-07 01:21:07,sds011_90D9,33.6,56.1
2020-06-07 01:22:19,sds011_90D9,34.1,60.9
2020-06-07 01:23:30,sds011_90D9,34.2,56.3
2020-06-07 01:24:41,sds011_90D9,34.4,55.8
2020-06-07 01:25:53,sds011_90D9,33.6,54.6
2020-06-07 01:27:04,sds011_90D9,33.6,58.0
2020-06-07 01:28:15,sds011_90D9,31.7,54.3
2020-06-07 01:29:27,sds011_90D9,31.9,54.8
2020-06-07 01:30:38,sds011_90D9,31.1,57.0
2020-06-07 01:31:49,sds011_90D9,31.1,55.5
2020-06-07 01:33:01,sds011_90D9,30.4,56.1
2020-06-07 01:34:12,sds011_90D9,30.1,56.1
2020-06-07 01:35:23,sds011_90D9,30.4,53.4
2020-06-07 01:36:35,sds011_90D9,29.7,47.7
2020-06-07 01:37:46,sds011_90D9,29.9,51.7
2020-06-07 01:38:57,sds011_90D9,29.5,48.5
2020-06-07 01:40:08,sds011_90D9,29.0,48.4
2020-06-07 01:41:14,sds011_90D9,28.5,52.4
2020-06-07 01:42:25,sds011_90D9,29.0,50.9
2020-06-07 01:43:37,sds011_90D9,28.8,53.2
2020-06-07 01:44:48,sds011_90D9,29.1,47.3
2020-06-07 01:45:59,sds011_90D9,28.1,46.5
2020-06-07 01:47:05,sds011_90D9,27.9,47.0
