time,sensor,PM2.5,PM10
2020-06-07 00:00:16,sds011_A35C,71.3,87.8
2020-06-07 00:01:27,sds011_A35C,68.1,90.8
2020-06-07 00:02:38,sds011_A35C,69.5,88.4
2020-06-07 00:03:50,sds011_A35C,70.0,89.4
2020-06-07 00:05:01,sds011_A35C,68.4,88.5
2020-06-07 00:06:12,sds011_A35C,68.8,88.8
2020-06-07 00:07:24,sds011_A35C,65.3,83.3
2020-06-07 00:08:35,sds011_A35C,65.7,84.2
2020-06-07 00:09:46,sds011_A35C,64.1,83.5
2020-06-07 00:10:58,sds011_A35C,66.1,83.0
2020-06-07 00:12:11,sds011_A35C,66.6,86.7
2020-06-07 00:13:23,sds011_A35C,66.3,83.6
2020-06-07 00:14:34,sds011_A35C,65.6,82.4
2020-06-07 00:15:45,sds011_A35C,63.6,84.1
2020-06-07 00:16:57,sds011_A35C,65.6,89.6
2020-06-07 00:18:08,sds011_A35C,64.0,81.6
2020-06-07 00:19:20,sds011_A35C,65.0,81.4
2020-06-07 00:20:47,sds011_A35C,61.5,82.7
2020-06-07 00:22:01,sds011_A35C,63.1,79.5
2020-06-07 00:23:12,sds011_A35C,61.2,83.9
2020-06-07 00:24:23,sds011_A35C,60.7,82.2
2020-06-07 00:25:35,sds011_A35C,62.7,86.6
2020-06-07 00:26:40,sds011_A35C,61.1,77.2
2020-06-07 00:27:52,sds011_A35C,60.3,84.9
2020-06-07 00:29:03,sds011_A35C,56.7,71.6
2020-06-07 00:30:14,sds011_A35C,59.2,77.2
2020-06-07 00:31:27,sds011_A35C,59.6,75.3
2020-06-07 00:32:38,sds011_A35C,59.3,80.2
2020-06-07 00:33:49,sds011_A35C,60.0,80.6
2020-06-07 00:35:01,sds011_A35C,57.5,78.0
2020-06-07 00:36:12,sds011_A35C,60.3,78.9
2020-06-07 00:37:23,sds011_A35C,60.7,82.7
2020-06-07 00:38:35,sds011_A35C,58.7,75.5
2020-06-07 00:39:46,sds011_A35C,55.0,76.1
2020-06-07 00:40:57,sds011_A35C,57.8,73.3
2020-06-07 00:42:08,sds011_A35C,56.5,74.1
2020-06-07 00:43:20,sds011_A35C,56.7,75.4
2020-06-07 00:44:31,sds011_A35C,54.3,75.9
2020-06-07 00:45:42,sds011_A35C,53.8,71.7
2020-06-07 00:46:54,sds011_A35C,52.4,73.3
2020-06-07 00:48:05,sds011_A35C,54.3,73.4
2020-06-07 00:49:16,sds011_A35C,55.8,74.2
2020-06-07 00:50:28,sds011_A35C,55.8,75.5
2020-06-07 00:51:39,sds011_A35C,54.5,72.8
2020-06-07 00:52:50,sds011_A35C,52.6,69.4
2020-06-07 00:54:01,sds011_A35C,52.6,70.0
2020-06-07 00:55:13,sds011_A35C,51.1,69.2
2020-06-07 00:56:24,sds011_A35C,52.9,69.5
2020-06-07 00:57:36,sds011_A35C,51.7,68.8
2020-06-07 00:58:47,sds011_A35C,51.0,67.9
2020-06-07 00:59:58,sds011_A35C,52.4,72.1
2020-06-07 01:01:10,sds011_A35C,52.5,69.8
2020-06-07 01:02:21,sds011_A35C,49.9,71.7
2020-06-07 01:03:32,sds011_A35C,51.0,67.5
2020-06-07 01:04:43,sds011_A35C,50.5,65.0
2020-06-07 01:05:55,sds011_A35C,47.4,64.5
2020-06-07 01:07:06,sds011_A35C,49.5,67.7
